word,formal,lazy,keyer,usage,hint
suppositions,s-p-o-sh-s,spozs,,7854,suppositions = spozs (s-p-o-sh-s)  [7]
delete,d-l-e-t,dlet,,8274,delete = dlet (d-l-e-t)  [2]
deleted,d-l-e-t-d,dletd,,8274,deleted = dletd (d-l-e-t-d)  [2]
deletes,d-l-e-t-s,dlets,,8274,deletes = dlets (d-l-e-t-s)  [2]
deleting,d-l-e-t-\-h,dletg,,8274,deleting = dletg (d-l-e-t-\-h)  [3]
productivity,pr-o-k-v-t-e,prokvte,,8288,productivity = prokvte (pr-o-k-v-t-e)  [5]
import,m-p-o-t,mpot,,8595,import = mpot (m-p-o-t)  [2]
importation,m-p-o-t-sh,mpotz,,8595,importation = mpotz (m-p-o-t-sh)  [6]
imported,m-p-o-t-d,mpotd,,8595,imported = mpotd (m-p-o-t-d)  [3]
importer,m-p-o-t-r,mpotr,,8595,importer = mpotr (m-p-o-t-r)  [3]
importers,m-p-o-t-r-s,mpotrs,,8595,importers = mpotrs (m-p-o-t-r-s)  [3]
importing,m-p-o-t-\-h,mpotg,,8595,importing = mpotg (m-p-o-t-\-h)  [4]
imports,m-p-o-t-s,mpots,,8595,imports = mpots (m-p-o-t-s)  [2]
environmental,n-v-i-r-mn-l,nvirmml,,8705,environmental = nvirmml (n-v-i-r-mn-l)  [6]
environments,n-v-i-r-mn-s,nvirmms,,8705,environments = nvirmms (n-v-i-r-mn-s)  [5]
reschedule,r-s2-k-e-d-l,rskedl,,8811,reschedule = rskedl (r-s2-k-e-d-l)  [4]
rescheduled,r-s2-k-e-d-l-d,rskedld,,8811,rescheduled = rskedld (r-s2-k-e-d-l-d)  [4]
reschedules,r-s2-k-e-d-l-s,rskedls,,8811,reschedules = rskedls (r-s2-k-e-d-l-s)  [4]
rescheduling,r-s2-k-e-d-l-\-h,rskedlg,,8811,rescheduling = rskedlg (r-s2-k-e-d-l-\-h)  [5]
schedules,s2-k-e-d-l-s,skedls,,8811,schedules = skedls (s2-k-e-d-l-s)  [3]
scheduling,s2-k-e-d-l-\-h,skedlg,,8811,scheduling = skedlg (s2-k-e-d-l-\-h)  [4]
edited,e-td-d,eddd,o,8828,edited = eddd (e-td-d)  [2]
editing,e-td-\-h,eddg,,8828,editing = eddg (e-td-\-h)  [3]
edits,e-td-s,edds,o,8828,edits = edds (e-td-s)  [1]
presentations,pr-sh-s,przs,,9294,presentations = przs (pr-sh-s)  [9]
definable,df-i-n-b,dfinb,,9338,definable = dfinb (df-i-n-b)  [4]
definably,df-i-n-b-e,dfinbe,,9338,definably = dfinbe (df-i-n-b-e)  [3]
defining,df-i-n-\-h,dfing,,9338,defining = dfing (df-i-n-\-h)  [3]
buttoned,b-u-tn-d,butnd,,9381,buttoned = butnd (b-u-tn-d)  [3]
buttonhole,b-u-tn-o-l-^-<-h,butnol,,9381,buttonhole = butnol (b-u-tn-o-l-^-<-h)  [4]
buttonholed,b-u-tn-o-l-d-^-<-h,butnold,,9381,buttonholed = butnold (b-u-tn-o-l-d-^-<-h)  [4]
buttonholes,b-u-tn-o-l-s-^-<-h,butnols,,9381,buttonholes = butnols (b-u-tn-o-l-s-^-<-h)  [4]
buttonholing,b-u-tn-o-l-\-h-^-<-h,butnolg,,9381,buttonholing = butnolg (b-u-tn-o-l-\-h-^-<-h)  [5]
buttoning,b-u-tn-\-h,butng,,9381,buttoning = butng (b-u-tn-\-h)  [4]
buttons,b-u-tn-s,butns,,9381,buttons = butns (b-u-tn-s)  [2]
editorials,e-td-r-l-s,eddrls,,9852,editorials = eddrls (e-td-r-l-s)  [4]
certificates,s2-e-df-s,sedfs,,9931,certificates = sedfs (s2-e-df-s)  [7]
rout,r-a-o-t,rwt,,11813,rout = rwt (r-a-o-t)  [1]
routs,r-a-o-t-s,rwts,,11813,routs = rwts (r-a-o-t-s)  [1]
profile,pr-f-i-l,prfil,,11816,profile = prfil (pr-f-i-l)  [2]
