b-a-k-g-r-nt  background
b-a-k-t-e-r-m  bacterium
b-a-l         bail, balance, bale
b-a-l/s-t-s   ballistics
b-a-l/t       balanced
b-a-l-a-k-t   balance of account
b-a-l-b-r-e-g-n  balbriggan
b-a-ld-a-k-e-n  baldachin
b-a-l-f       bailiff
b-a-l-m       bailment
b-a-l-o-t     ballot
b-a-l-s       balances
b-a-l-u-s-t-e (e2)  baluster
b-a-l-u-s-t-r-a  balustrade
b-a-l-w-e-k   bailiwick
b-a-m-i (a2)  bear in mind (Expert)
b-a-m-i-n (a2)  bear in mind
b-a-n (a2)    barn
b-a-n-e-t     bayonet
b-a-nk        bank
b-a-nk-e (e2)  banker
b-a-nk-k-k    Bangkok
b-a-nk-p      bankrupt
b-a-nk-p-s-e  bankruptcy
b-a-nk-w-e-t  banquet
b-a-n-l       banal, biannual
b-a-nt        band
b-a-nt-l-e-r  bandoleer
b-a-nt-r      banter
b-a-r         bar, bare, bear
b-a-r-a-sh    barrage
b-a-r-a-t-r-e  barratry
b-a-r-b-k-a-n  barbican
b-a-r-b-r-ea-n  barbarian
b-a-r-e       barely
b-a-r-e-n     barren
b-a-r-e-r     barrier
b-a-r-g-n     bargain
b-a-r-n       baron
b-a-r-s       bears
b-a-s         base
b-a-s-b-o-l   baseball
b-a-s-e-l-e-k-a  basilica
b-a-sh        beige
b-a-s-k-e-t   basket
b-a-s-k-e-t-b-o-l  basketball
b-a-s-m       basement
b-a-ss        bases, basis
b-a-s-t       based
b-a-t         bat
b-a-th        bath
b-a-tn        baton
b-d           bad, bed, bid
b-d-e         badly
b-d-p-e-s     Budapest
b-d-r-e-tn    bedridden
b-d-r-m       bedroom
b-d-s         bids
b-e           bee, belief, believe
b-ea-t-e-t    beatitude
b-e-b         believable
b-e-b/o-e     bibliography
b-e-ch        beach
b-e-d (e2)    bird
b-e-l         bell
b-e-l-a-d-s (reversed a)  billiards
b-e-l-e-j     belligerence, belligerent
b-e-l-e-k-o-s  bellicose
b-e-l-t       belt
b-e-l-u-s     bilious
b-e-n         bean
b-e-n (e2)    burn
b-e-n/t (e2)  burned
b-e-n-t (e2)  burnt
b-e-r-e-d     buried
b-e-r-g-l-a-r  burglarious
b-e-r-g-l-r   burglar
b-e-r-th      berth, birth
b-e-r-th-d-a  birthday
b-e-s         believes, best
b-e-s-e       busy
b-e-sh-u      bijou
b-e-s-p-r     by express
b-e-t         beat, bet, bit
b-e-t-e (e1, e2)  bitter
b-e-th-d-a    birthday (1916)
b-e-tn        beaten, bitten
b-e-tn (e2)   burden
b-e-u-k-o-l-k  bucolic
b-f           before, behalf (1916)
b-f-a-f-t     before and after
b-f-e-sh      beneficiary (DJS Expert)
b-f-o         befall
b-f-r         befriend
b-g           beg, big
b-g/d         baggage department
b-g-a         baggage agent
b-g-a-n       began
b-g-ch-e-k    baggage check
b-g-d         begged
b-g-e-n       begin
b-g-e-s       biggest
b-g-j         baggage
b-g-m-a-s     baggage master
b-g-m-e       bigamy
b-g-n         bargain (DJS Expert), begun, bygone
b-g-r         beggar, bigger
b-g-t         bigot
b-g-t-a       Bogota
b-h-a-f       behalf
b-h-a-v-r     behavior
b-i           behind, buy
b-ia-n-l      biennial
b-i-b         Bible
b-i-nt-h      binding
b-i-r         buyer
b-i-r-e-s     Bueno Aires
b-j-e-t       budget
b-j-t         budget (Simp.)
b-k           become, book
b-k-a         became
b-k-e-s       bequest
b-k-l-e       booklet
b-k-l-e-s (angle between e and s)  booklets
b-k-l-o-r-i   bichloride
b-k-p/r       bookkeeper
b-k-p-h       bookkeeping
b-k-r-b-n-a-t  bicarbonate
b-k-r-e-s     Bucharest
b-k-t         booked
b-l           bill, built
b-l/t         billed
b-l-a-k       black
b-l-a-k-m-a   blackmail
b-l-a-m       blame
b-l-a-m-l     blameless
b-l-a-m-th-e  blameworthy
b-l-a-nk      blank
b-l-a-s-n     blazon
b-l-a-u-s     blouse
b-l-b-o-d     billboard
b-ld          build
b-ld/s (s2)   buildings
b-l-e         believe (1902)
b-l-e-ng-l    bilingual
b-l-e-s       bless, bliss
b-l-e-s-a-d (s2-a2)  blizzard
b-l-e-s-ch    bill of exchange
b-l-e-s-t     blessed
b-l-e-t       belittle
b-l-e-tn      bulletin (DJS Expert)
b-l-f-a-s     Belfast
b-l-h-e-d     billhead
b-l-i         belie
b-l-i-nt      blind
b-l-j-m       Belgium
b-l-ng        belong
b-l-ng/t      belonged
b-l-o         below, blow, by-law
b-l-o-k       block
b-l-o-n       blown
b-l-s-a       bill of sale
b-l-u         blue, blew
b-l-u-d       blood
b-l-u-d-l     bloodless
b-l-u-f       bluff
b-l-u-m       bloom
b-l-v         belove
b-l-v-d       beloved, boulevard
b-mn-s-ch     by means of which
b-n           been, bound
b-n/k         binnacle
b-n-a-n-a     banana
b-n-ch        bunch
b-n-e-g-n     benignant
b-n-e-v       benevolence, benevolent
b-n-f         benefit
b-n-f-e-sh    beneficial
b-ng-l-u      bungalow
b-n-l         boundless, bundle
b-n-n         bounden
b-n-o-k       binocular
b-n-r-e       binary, boundary
b-n-s         bounce, bounds
b-n-s-e-n     benzene
b-n-t-e       bounty
b-n-t-h       bunting
b-n-u-n       bunion
b-o           body, bow
b-o-d         board
b-o-d-e (e2)  border
b-o-d-k-e-n   bodkin
b-o-d-o       Bordeaux
b-o-e         bodily, boy, buoy
b-o-e-k-o-t   boycott
b-o-e-l-r     boiler
b-o-e-m-ea    Bohemia
b-o-e-nt      buoyant
b-o-k         balk
b-o-l         ball, Baltimore, Bolivia
b-o-ld (o on side)  behold
b-o-ld-r      bolder, boulder, bowlder
b-o-ld-r-k    baldric
b-o-l-t-s     bolts
b-o-m-b/s-t   bombastic
b-o-m-b-a-d-m (a2)  bombardment
b-o-m-i       borne in mind (Expert)
b-o-n         beyond, bone, born
b-o-nt        bond
b-o-n-u-s     bonus
b-o-r         board (1916), bore
b-o-r-a-s-k   boracic
b-o-r-o       borrow
b-o-s         bodies, Boston
b-o-s-p-r-e-t  bowsprit
b-o-t         boat, bought
b-o-th        both, bother
b-o-th/t      bothered
b-o-th-s-m    bothersome
b-o-t-l       bottle
b-o-tm        bottom
b-o-tn/k      botanical
b-o-v-e-n     bovine
b-o-x         box
b-p           bankrupt (DJS Expert)
b-p-l-a-n     biplane
b-r           bring
b-r-a-k       break
b-r-a-k-s     breaks
b-r-a-k-sh    brackish
b-r-a-n       brain
b-r-a-n-ch    branch
b-r-a-n-ch-s  branches
b-r-a-n-s     brains
b-r-a-nt      brand
b-r-a-s       brass, Brazil
b-r-a-sh-e (e2)  brazier
