"word","lazy","hint","formal","usage","keyer"
"attorney","","","a-tn-e","",""
"attorney-at-law","","","a-tn-e-l-o","",""
"attorneys","","","a-tn-e-s","",""
"attract","","","a-t-r-k","",""
"attraction","","","a-t-r-k-sh","",""
"attractive","","","a-t-r-k-v","",""
"attribute","","","a-t-r-e-b","",""
"auctioneer","","","o-k-sh-e2","",""
"audacious","","","o-d-a-sh","",""
"audacity","","","o-d-/-s","",""
"audible","","","o-d-b","",""
"audience","","","o-tn-s","",""
"audit","","","o-td","",""
"auditor","","","o-td-e2","",""
"auditorium","","","o-td-o-r-m","",""
"augment","","","o-g-m","",""
"augury","","","o-g-r-e","",""
"August","","","o-g","",""
"auk","","","o-k","",""
"aunt","","","a-nt","",""
"aureole","","","o-r-e-o-l","",""
"auscultation","","","o-s-k-u-l-t-n","",""
"auspicious","","","o-s-p-e-sh","",""
"austere","","","o-s-t-e2","",""
"austerity","","","o-s-t-/-r","",""
"austr-","","","o-s2-/","",""
"Australia","","","o-s-/-l-ea","",""
"Austria","","","o-s-/-a","",""
"authentic","","","o-th-e-nt","",""
"authenticate","","","o-th-e-nt","",""
"author","","","o-th-r","",""
"authoritative","","","o-th-rdf","",""
"authority","","","o-th2-/-r","",""
"authorize","","","o-th-r-i-s","",""
"authorized","","","o-th-r-i-s-d","",""
"auto","","","o-t-o","",""
"autobiography","","","o-t-b-/-o-e","",""
"autochthonous","","","o-t-o-k-th-o-n-u-s","",""
"autocrat","","","o-t-o-k","",""
"automatic","","","o-tm-/-a","",""
"automaton","","","o-tm-a-tn","",""
"automobile","","","o-tm-b","",""
"autonomy","","","o-tn-o-m-e","",""
"autumn","","","o-tm","",""
"autumnal","","","o-tm-l","",""
"auxiliary","","","o-s-e-l-r-e","",""
"avail","","","a-v-a-l","",""
"available","","","a-v-a-l-b","",""
"avarice","","","a-v-a-r-e-s","",""
"avenue","","","a-v-n-u","",""
"Avenue ","","","a","",""
"average","","","a-v-r-j","",""
"average ","","","a-v-r","",""
"averse","","","a-v-e-r-s","",""
"avert","","","a-v-e2-t","",""
"avoid","","","v-o-e","",""
"avoids","","","v-o-e-s","",""
"avoirdupois","","","a-v-d-p-o-e","",""
"await","","","^-h-\-u-a-t","",""
"awaiting","","","^-h-\-u-a-t-\-h","",""
"awake","","","^-h-\-u-a-k","",""
"aware","","","a-r","",""
"away","","","/-n","",""
"awe","","","o","",""
"awed","","","o-d","",""
"awes","","","o-s","",""
"awful","","","o-f","",""
"awhile","","","h-/-\-i-l","",""
"awkward","","","o-k-d","",""
"awning","","","o-n-\-h","",""
"axiom","","","a-k-s-e-m","",""
"axis","","","a-k-ss","",""
"ayes","","","i-s","",""
"azure","","","a-sh-u","",""
"babbit","","","b-a-b-t","",""
"babble","","","b-a-b","",""
"babe","","","b-a-b","",""
"babies","","","b-a-b-e-s","",""
"baby","","","b-a-b-e","",""
"back","","","b-a-k","",""
"back and forth","","","b-a-k-f-th","",""
"background","","","b-a-k-g","",""
"backward","","","b-a-k-d","",""
"bacterium","","","b-a-k-t-e-r-m","",""
"bad","","","b-d","",""
"badinage","","","b-tn-a-sh","",""
"badly","","","b-d-e","",""
"bag","","","b-a-g","",""
"bagasse","","","b-a-g-a-s","",""
"baggage","","","b-g-j","",""
"baggage agent","","","b-g-a","",""
"baggage check","","","b-g-ch-e-k","",""
"baggage department","","","b-g-/-d","",""
"baggage master","","","b-g-m-a-s","",""
"bags","","","b-a-g-s","",""
"bail","","","b-a-l","",""
"bailiff","","","b-a-l-f","",""
"bailiwick","","","b-a-l-w-e-k","",""
"bailment","","","b-a-l-m","",""
"bake","","","b-a-k","",""
"balance","","","b-a-l","",""
"balance of account","","","b-a-l-a-k-t","",""
