"word","formal","lazy","keyer","usage","hint"
"dollar","d-o","dou","u","3773","dollar = dou (d-o) [3]"
"musical","m-u-s-/-k","musk","","3775","musical = musk (m-u-s-/-k) [3]"
"model","m-o-d-l","modl","","3776","model = modl (m-o-d-l) [1]"
"coarse","k-r-s","krso","o","3777","coarse = krso (k-r-s) [2]"
"mild","m-i-ld","mildo","o","3778","mild = mildo (m-i-ld) [-1]"
"washed","u-o-sh-t","uozt","","3782","washed = uozt (u-o-sh-t) [2]"
"composition","k-p-o-sh","kpoz","","3785","composition = kpoz (k-p-o-sh) [7]"
"modest","m-o-d-e-s","modeso","o","3786","modest = modeso (m-o-d-e-s) [0]"
"pays","p-a-s","pasi","i","3787","pays = pasi (p-a-s) [0]"
"closer","k-l-o-s-e-r","kloser","","3790","closer = kloser (k-l-o-s-e-r) [0]"
"perpetual","p-r-p-t-l","prptl","","3791","perpetual = prptl (p-r-p-t-l) [4]"
"association","a-s-o-sh","asoz","","3792","association = asoz (a-s-o-sh) [7]"
"harmony","^-h-\-a2-mn-e","hamne","","3793","harmony = hamne (^-h-\-a2-mn-e) [2]"
"counted","k-nt-d","kntd","","3794","counted = kntd (k-nt-d) [3]"
"intend","n-tn","ntn","","3795","intend = ntn (n-tn) [3]"
"flood","f-l-u-d","flud","","3797","flood = flud (f-l-u-d) [1]"
"establish","e-s-t-b","estb","","3798","establish = estb (e-s-t-b) [5]"
"men's","mn-s","mns","","3799","men's = mns (mn-s) [2]"
"confused","k-f-e-u-/-t","kfut","","3804","confused = kfut (k-f-e-u-/-t) [4]"
"enjoyment","n-j-o-e-m","njym","","3806","enjoyment = njym (n-j-o-e-m) [5]"
"flour","f-l-r","flru","u","3809","flour = flru (f-l-r) [1]"
"monarch","mn-a-r-k","mnark","","3811","monarch = mnark (mn-a-r-k) [2]"
"messenger","m-e2-s-j-e2","mesje","","3812","messenger = mesje (m-e2-s-j-e2) [4]"
"talent","t-a-l-e-nt","talento","o","3816","talent = talento (t-a-l-e-nt) [-1]"
"advised","v-i-s-d","visd","","3817","advised = visd (v-i-s-d) [3]"
"exclusion","e-s-/-sh","esz","","3823","exclusion = esz (e-s-/-sh) [6]"
"stroke","s-t-r-o-k","strok","","3824","stroke = strok (s-t-r-o-k) [1]"
"discipline","d-s-p-l-e-n","dsplen","","3825","discipline = dsplen (d-s-p-l-e-n) [4]"
"mud","m-u-d","mudu","u","3826","mud = mudu (m-u-d) [-1]"
"liberal","l-e-b-e-r","leber","","3829","liberal = leber (l-e-b-e-r) [2]"
"pound","p-n","pnu","u","3830","pound = pnu (p-n) [2]"
"feature","f-e-t-r","fetr","","3831","feature = fetr (f-e-t-r) [3]"
"rent","r-e-nt","rentu","u","3832","rent = rentu (r-e-nt) [-1]"
"charity","ch-/-r","cr","","3838","charity = cr (ch-/-r) [5]"
"strangely","s-t-j-e","stjeo","o","3842","strangely = stjeo (s-t-j-e) [4]"
"appointment","o-e-m","ym","","3843","appointment = ym (o-e-m) [9]"
"alter","o-t-e2","oteo","o","3844","alter = oteo (o-t-e2) [1]"
"conceive","k-s-e","kseo","o","3845","conceive = kseo (k-s-e) [4]"
"gas","g-a-s","gasu","u","3846","gas = gasu (g-a-s) [-1]"
"committee","k-e-t-e","kete","","3847","committee = kete (k-e-t-e) [5]"
"sheet","sh-e-t","zet","","3848","sheet = zet (sh-e-t) [2]"
"citizen","s-e-t-s","setso","o","3849","citizen = setso (s-e-t-s) [2]"
"international","n-/-n-a-sh-l","nnazl","","3856","international = nnazl (n-/-n-a-sh-l) [8]"
"farmer","f-a2-m-e2","fameo","o","3858","farmer = fameo (f-a2-m-e2) [1]"
"instruction","n-s-/-k-sh","nskz","","3864","instruction = nskz (n-s-/-k-sh) [7]"
"intellect","n-/-e-k","neku","u","3865","intellect = neku (n-/-e-k) [5]"
"namely","n-a-e","naeo","o","3873","namely = naeo (n-a-e) [2]"
"behalf","b-f","bfo","o","3874","behalf = bfo (b-f) [3]"
"Austria","o-s-/-a","osa","","3875","Austria = osa (o-s-/-a) [4]"
"clock","k-l-o-k","klok","","3877","clock = klok (k-l-o-k) [1]"
"reserve","r-s-e-v","rsev","","3880","reserve = rsev (r-s-e-v) [3]"
"revolution","r-v-o-l-sh","rvolz","","3882","revolution = rvolz (r-v-o-l-sh) [5]"
"proposition","p-r-p-o-sh","prpoz","","3883","proposition = prpoz (p-r-p-o-sh) [6]"
