word,form,qwerd,keyer,chord,usage
Baby,b-a-b-e,Babeo,o,qabeo,0
Babies,b-a-b-e-s,Babeso,o,qabeos,0
Babble,b-a-b,Babo,o,qabo,0
Babbit,b-a-b-t,Babt,,qabt,0
Bagasse,b-a-g-a-s,Bagas,,qabgs,0
Bag,b-a-g,Bago,o,qabgo,0
Bags,b-a-g-s,Bagso,o,qabgos,0
Bath,b-a-th,Bah,,qabh,0
Being able,b-a-\-h,Baho,o,qabho,0
Back and forth,b-a-k-f-th,Bakfh,,qabfhk,0
Bacterium,b-a-k-t-e-r-m,Bakterm,,qabekmrt,0
Balance of account,b-a-l-a-k-t,Balakt,,qabklt,0
Balbriggan,b-a-l-br-e-g-n,Balbregn,,qabeglnr,0
Baldachin,b-a-ld-a-k-e-n,Baldaken,,qabdekln,0
Bailiff,b-a-l-f,Balf,,qabfl,0
Bailment,b-a-l-m,Balmo,o,qablmo,0
Ballot,b-a-l-o-t,Balot,,qablot,0
Ballistics,b-a-l-/-s2-t-s,Balsts,,qablst,0
Baluster,b-a-l-u-s2-t-e2,Baluste,,qabelstu,0
Balustrade,b-a-l-u-s2-t-r-a,Balustra,,qablrstu,0
Bailiwick,b-a-l-w-e-k,Balwek,,qabeklw,0
Bear in mind,b-a2-m-i,Bami,,qabim,0
Bandoleer,b-a-nt-l-e-r,Bandler,,qabdelnr,0
Band,b-a-nt,Bando,o,qabdno,0
Bayonet,b-a-n-e-t,Banet,,qabent,0
Banal,b-a-n-l,Banl,,qabln,0
Biannual,b-a-n-l,Banlo,o,qablno,0
Barn,b-a2-n,Bano,o,qabno,0
Banter,b-a-nt-r,Bantr,,qabnrt,0
Bank,b-a-nk,Baq,,qabq,0
Banker,b-a-nk-e2,Baqe,,qabeq,0
Bankrupt,b-a-nk-p,Baqp,,qabpq,0
Bankruptcy,b-a-nk-p-s-e,Baqpse,,qabepqs,0
Banquet,b-a-nk-w-e-t,Baqwet,,qabeqtw,0
Barratry,b-a-r-a-t-r-e,Baratre,,qabert,0
Barrage,b-a-r-a-sh,Baraz,,qabrz,0
Barbican,b-a-r-b-k-a-n,Barbkan,,qabknr,0
Barbarian,b-a-r-br-ea-n,Barbren,,qabenr,0
Barren,b-a-r-e-n,Baren,,qabenr,0
Barely,b-a-r-e,Bareo,o,qabeor,0
Barrier,b-a-r-e-r,Barer,,qaber,0
Bargain,b-a-r-g-n,Bargn,,qabgnr,0
Bare,b-a-r,Bari,i,qabir,0
Baron,b-a-r-n,Barno,o,qabnor,0
Bear,b-a-r,Baro,o,qabor,0
Bears,b-a-r-s,Barso,o,qabors,0
Bar,b-a-r,Baru,u,qabru,0
Base,b-a-s,Bas,,qabs,0
Baseball,b-a-s-b-o-l,Basbol,,qablos,0
Basilica,b-a-s-e-l-e-k-a,Baseleka,,qabekls,0
Basketball,b-a-s2-k-e-t-b-o-l,Basketbol,,qabeklost,0
Basket,b-a-s2-k-e-t,Basketo,o,qabekost,0
Basement,b-a-s2-m,Basm,,qabms,0
Basis,b-a-ss,Bassi,i,qabis,0
Bases,b-a-ss,Basso,o,qabos,0
Baton,b-a-tn,Batn,,qabnt,0
Bat,b-a-t,Bato,o,qabot,0
Badinage,b-tn-a-sh,Bdnaz,,qabdnz,0
Budapest,b-d-p-e-s,Bdpes,,qbdeps,0
Bedroom,b-d-r-m,Bdrm,,qbdmr,0
Bibliography,b-e-b-/-o-e,Beby,,qbey,0
Beach,b-e-ch,Bec,,qbce,0
